title,description,tags,difficulty,hint
Maximum Subarray,"Given an integer array nums, find the subarray with the largest sum and return its sum.

Input: nums = [-2,1,-3,4,-1,2,1,-5,4]
Output: 6
Explanation: The subarray [4,-1,2,1] has the largest sum 6.

Constraints:
- 1 <= nums.length <= 10^5
- -10^4 <= nums[i] <= 10^4","Array, Dynamic Programming",MEDIUM,"Use Kadane's algorithm: maintain a running sum and reset it to zero whenever it becomes negative, tracking the global maximum throughout."
Product of Array Except Self,"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i].

Input: nums = [1,2,3,4]
Output: [24,12,8,6]

Constraints:
- 2 <= nums.length <= 10^5
- -30 <= nums[i] <= 30
- The product of any prefix or suffix of nums fits in a 32-bit integer","Array, Prefix Sum",MEDIUM,"Use two passes: build a prefix product array from the left, then multiply by a running suffix product from the right."
Contains Duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.

Input: nums = [1,2,3,1]
Output: true

Constraints:
- 1 <= nums.length <= 10^5
- -10^9 <= nums[i] <= 10^9","Array, Hash Table, Sorting",EASY,Insert each element into a hash set and check if it already exists before insertion.
Best Time to Buy and Sell Stock,"You are given an array prices where prices[i] is the price of a given stock on the ith day. You want to maximize your profit by choosing a single day to buy and a single day to sell. Return the maximum profit, or 0 if no profit is possible.

Input: prices = [7,1,5,3,6,4]
Output: 5

Constraints:
- 1 <= prices.length <= 10^5
- 0 <= prices[i] <= 10^4","Array, Dynamic Programming",EASY,"Track the minimum price seen so far and at each step compute the profit if you sold today, keeping the global maximum."
Rotate Array,"Given an integer array nums, rotate the array to the right by k steps.

Input: nums = [1,2,3,4,5,6,7], k = 3
Output: [5,6,7,1,2,3,4]

Constraints:
- 1 <= nums.length <= 10^5
- -2^31 <= nums[i] <= 2^31 - 1
- 0 <= k <= 10^5","Array, Math, Two Pointers",MEDIUM,"Reverse the entire array, then reverse the first k elements and the remaining elements separately."
Move Zeroes,"Given an integer array nums, move all 0's to the end of it while maintaining the relative order of the non-zero elements. You must do this in-place.

Input: nums = [0,1,0,3,12]
Output: [1,3,12,0,0]

Constraints:
- 1 <= nums.length <= 10^4
- -2^31 <= nums[i] <= 2^31 - 1","Array, Two Pointers",EASY,"Use a slow pointer to track the position for the next non-zero element, and a fast pointer to scan through the array swapping non-zeros forward."
Find All Duplicates in an Array,"Given an integer array nums of length n where all integers are in the range [1, n] and each integer appears once or twice, return an array of all the integers that appear twice.

Input: nums = [4,3,2,7,8,2,3,1]
Output: [2,3]

Constraints:
- n == nums.length
- 1 <= n <= 10^5
- 1 <= nums[i] <= n","Array, Hash Table",MEDIUM,"Use the array itself as a hash map by negating the value at index nums[i]-1; if it is already negative, nums[i] is a duplicate."
Maximum Product Subarray,"Given an integer array nums, find a subarray that has the largest product and return the product.

Input: nums = [2,3,-2,4]
Output: 6
Explanation: [2,3] has the largest product 6.

Constraints:
- 1 <= nums.length <= 2 * 10^4
- -10 <= nums[i] <= 10","Array, Dynamic Programming",MEDIUM,Track both the maximum and minimum product ending at each position since a negative number can turn a minimum product into a maximum.
Find the Duplicate Number,"Given an array of integers nums containing n + 1 integers where each integer is in the range [1, n] inclusive, there is only one repeated number. Return this repeated number without modifying the array using O(1) extra space.

Input: nums = [1,3,4,2,2]
Output: 2

Constraints:
- 1 <= n <= 10^5
- nums.length == n + 1
- 1 <= nums[i] <= n","Array, Two Pointers, Binary Search",MEDIUM,Use Floyd's tortoise and hare cycle detection algorithm treating array values as next pointers.
Shuffle an Array,"Given an integer array nums, design an algorithm to randomly shuffle the array. All permutations of the array should be equally likely.

Input: nums = [1,2,3]
Output: [1,2,3] (any permutation)

Constraints:
- 1 <= nums.length <= 50
- -10^6 <= nums[i] <= 10^6","Array, Math",MEDIUM,"Use the Fisher-Yates shuffle algorithm: iterate from the end, swapping each element with a randomly chosen element from the unshuffled portion."
Missing Number,"Given an array nums containing n distinct numbers in the range [0, n], return the only number in the range that is missing from the array.

Input: nums = [3,0,1]
Output: 2

Constraints:
- n == nums.length
- 1 <= n <= 10^4
- 0 <= nums[i] <= n
- All numbers are unique","Array, Math, Bit Manipulation",EASY,Use the Gauss sum formula n*(n+1)/2 and subtract the actual sum of the array to find the missing number.
Third Maximum Number,"Given an integer array nums, return the third distinct maximum number in this array. If the third maximum does not exist, return the maximum number.

Input: nums = [3,2,1]
Output: 1

Constraints:
- 1 <= nums.length <= 10^4
- -2^31 <= nums[i] <= 2^31 - 1","Array, Sorting",EASY,"Maintain three variables tracking the first, second, and third maximums, updating them as you iterate through the array."
Pascal's Triangle,"Given an integer numRows, return the first numRows of Pascal's triangle where each number is the sum of the two numbers directly above it.

Input: numRows = 5
Output: [[1],[1,1],[1,2,1],[1,3,3,1],[1,4,6,4,1]]

Constraints:
- 1 <= numRows <= 30","Array, Dynamic Programming",EASY,"Build each row iteratively where row[j] = previous_row[j-1] + previous_row[j], with 1s at both ends."
Majority Element,"Given an array nums of size n, return the majority element. The majority element is the element that appears more than n/2 times.

Input: nums = [3,2,3]
Output: 3

Constraints:
- n == nums.length
- 1 <= n <= 5 * 10^4
- -10^9 <= nums[i] <= 10^9","Array, Hash Table, Sorting",EASY,"Use Boyer-Moore voting algorithm: maintain a candidate and counter, incrementing for matches and decrementing for mismatches."
Spiral Matrix,"Given an m x n matrix, return all elements of the matrix in spiral order.

Input: matrix = [[1,2,3],[4,5,6],[7,8,9]]
Output: [1,2,3,6,9,8,7,4,5]

Constraints:
- m == matrix.length
- n == matrix[i].length
- 1 <= m, n <= 10","Array, Matrix",MEDIUM,"Use four boundary pointers (top, bottom, left, right) and shrink them inward after traversing each side of the spiral."
Set Matrix Zeroes,"Given an m x n integer matrix, if an element is 0, set its entire row and column to 0. You must do it in place.

Input: matrix = [[1,1,1],[1,0,1],[1,1,1]]
Output: [[1,0,1],[0,0,0],[1,0,1]]

Constraints:
- m == matrix.length
- n == matrix[0].length
- 1 <= m, n <= 200","Array, Matrix, Hash Table",MEDIUM,"Use the first row and first column as markers to record which rows and columns should be zeroed, using two boolean flags for the first row and column themselves."
Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.

Input: nums = [2,7,11,15], target = 9
Output: [0,1]

Constraints:
- 2 <= nums.length <= 10^4
- -10^9 <= nums[i] <= 10^9
- Only one valid answer exists","Array, Hash Table",EASY,"Use a hash map to store each number's index, checking if the complement (target minus current) already exists in the map."
Group Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order.

Input: strs = [""eat"",""tea"",""tan"",""ate"",""nat"",""bat""]
Output: [[""bat""],[""nat"",""tan""],[""ate"",""eat"",""tea""]]

Constraints:
- 1 <= strs.length <= 10^4
- 0 <= strs[i].length <= 100","Array, Hash Table, String, Sorting",MEDIUM,"Sort each string's characters to form a canonical key, then group all strings sharing the same key using a hash map of lists."
