title,description,tags,difficulty,category,hint
Unique Paths,A robot is on the top-left corner of an m x n grid. It can only move right or down. How many possible unique paths are there to the bottom-right corner?,Dynamic Programming,MEDIUM,DYNAMIC_PROGRAMMING,Create a 2D grid dp[m][n]. Each cell dp[i][j] = dp[i-1][j] + dp[i][j-1] since you can only arrive from above or from the left. Base case: first row and first column are all 1.
Invert Binary Tree,"Given the root of a binary tree, invert the tree and return its root. Inverting means swapping every left child with the right child.","Tree, Binary Tree, DFS",EASY,TREE_TRAVERSAL,"Use DFS with min/max bounds. For each node, verify it falls within (min, max). Go left with updated max=node.val, go right with updated min=node.val. Start with (-infinity, +infinity)."
Maximum Depth of Binary Tree,"Given the root of a binary tree, return its maximum depth. Maximum depth is the number of nodes along the longest path from the root down to the farthest leaf node.","Binary Tree, BFS, DFS",EASY,TREE_TRAVERSAL,"Use Breadth-First Search with a Queue. Start with the root. For each level, process all nodes currently in the queue, adding their children for the next level. Collect values per level."
Course Schedule,There are n courses labeled 0 to n-1. Some courses have prerequisites. Determine if it is possible to finish all courses given the prerequisite pairs.,"Graph, DFS, Matrix",MEDIUM,GRAPH_TRAVERSAL,"Model this as a directed graph and check for cycles using topological sort (Kahn's algorithm with in-degree tracking, or DFS with coloring). If a cycle exists, you cannot finish all courses."
Unique Paths,A robot is on the top-left corner of an m x n grid. It can only move right or down. How many possible unique paths are there to the bottom-right corner?,"Math, Dynamic Programming, Recursion",HARD,DYNAMIC_PROGRAMMING,"Build a 2D DP table where dp[i][j] represents the LCS length for text1[0..i] and text2[0..j]. If characters match, dp[i][j] = dp[i-1][j-1] + 1, otherwise take max(dp[i-1][j], dp[i][j-1])."
Detect Cycle in Linked List,"Given head of a linked list, determine if it has a cycle. A cycle exists if some node can be reached again by continuously following the next pointer.","Two Pointers, Recursion",MEDIUM,LINKED_LIST,"Use a dummy head node. Compare the values at the front of both lists. Append the smaller one to the result and advance that list's pointer. Continue until one list is empty, then append the remainder."
Valid Anagram,"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An anagram uses the exact same letters the same number of times.",Two Pointers,MEDIUM,HASH_MAP_LOOKUP,"Use a Hash Map (dictionary) to store values as keys while you iterate through the array. For each element, check if the complement (target - current) already exists in the map. This reduces O(n²) brute force to O(n)."
Daily Temperatures,"Given an array of daily temperatures, return an array where answer[i] is the number of days you have to wait until a warmer temperature. If no future warmer day exists, set it to 0.","Queue, Stack, Design",EASY,STACK_QUEUE,"Use a Stack. Push opening brackets onto it. When you encounter a closing bracket, check if the top of the stack matches. If the stack is empty at the end, the string is valid."
Coin Change,"Given an array coins and an amount, return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.","Recursion, Dynamic Programming, Math",HARD,DYNAMIC_PROGRAMMING,"Build a 2D DP table where dp[i][j] represents the LCS length for text1[0..i] and text2[0..j]. If characters match, dp[i][j] = dp[i-1][j-1] + 1, otherwise take max(dp[i-1][j], dp[i][j-1])."
Kth Largest Element,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order.","Greedy, Array, Sorting",EASY,SORTING_ALGORITHM,"Use a Min-Heap of size k. Iterate through all elements, pushing each one. If heap size exceeds k, pop the smallest. At the end, the heap's top is the kth largest. O(n log k) time."
